MeSH Disease Term source	MeSH Disease Term target	symptom similarity score
Sinoatrial Block	Tachycardia, Ventricular	0.879022
Optic Nerve Diseases	Glaucoma	0.920064
Optic Nerve Diseases	Retinal Diseases	0.860704
Foot Deformities, Congenital	Hypertelorism	0.875553
Cholestasis	Cholestasis, Intrahepatic	0.907014
Helicobacter Infections	Duodenal Ulcer	0.920974
Hypertension, Portal	Gastrointestinal Hemorrhage	0.855358
Hypertension, Portal	Peptic Ulcer Hemorrhage	0.866443
Drug-Induced Liver Injury	Hepatic Veno-Occlusive Disease	0.859308
Drug-Induced Liver Injury	Jaundice, Chronic Idiopathic	0.951934
Drug-Induced Liver Injury	Hyperbilirubinemia	0.888677
Drug-Induced Liver Injury	Spherocytosis, Hereditary	0.898812
Drug-Induced Liver Injury	Hepatitis	0.964086
Muscular Atrophy, Spinal	Spinal Muscular Atrophies of Childhood	0.867434
Osteoporosis	Osteoporosis, Postmenopausal	0.872983
Colonic Neoplasms	Gastrointestinal Neoplasms	0.862104
Colonic Neoplasms	Adenocarcinoma	0.885669
Liver Neoplasms	Pancreatic Neoplasms	0.861156
Malabsorption Syndromes	Celiac Disease	0.906882
Microphthalmos	Corneal Opacity	0.861554
Microphthalmos	Eye Abnormalities	0.891361
Hyperalgesia	Sciatic Neuropathy	0.980221
Hearing Loss, Sensorineural	Cogan Syndrome	0.884046
Hypergammaglobulinemia	Immunologic Deficiency Syndromes	0.940378
Hypergammaglobulinemia	Lymphoproliferative Disorders	0.850618
Hypergammaglobulinemia	Job's Syndrome	0.986492
Hypergammaglobulinemia	Lymphopenia	0.912932
Myopia	Refractive Errors	0.924098
Myopia	Hyperopia	0.879148
