"biotid","substrate_name","substrate_cid","substrate_inchikey","substrate_inchi","enzyme","reaction_type","biotransformation_type","biosystem","prod_name","prod_cid","prod_inchikey","prod_inchi","reference"
"BIOTID00826","quazepam","4999","IKMPWMZBZSAONZ-UHFFFAOYSA-N","InChI=1S/C17H11ClF4N2S/c18-10-5-6-14-12(7-10)16(11-3-1-2-4-13(11)19)23-8-15(25)24(14)9-17(20,21)22/h1-7H,8-9H2","CYP2C9","Desulfurization of thioamide into amide","Human Phase I","Human","2-Oxoquazepam","93250","YFSXBSRGIRSXAD-UHFFFAOYSA-N","InChI=1S/C17H11ClF4N2O/c18-10-5-6-14-12(7-10)16(11-3-1-2-4-13(11)19)23-8-15(25)24(14)9-17(20,21)22/h1-7H,8-9H2","Miura, M and Ohkubo, T (2004); In vitrometabolism of quazepam in human liver and intestine and assessment of drug interactions; Xenobiotica; 34(11-12):1001-11; PMID:15801544; DOI:10.1080/02772240400015214"
"BIOTID00827","quazepam","4999","IKMPWMZBZSAONZ-UHFFFAOYSA-N","InChI=1S/C17H11ClF4N2S/c18-10-5-6-14-12(7-10)16(11-3-1-2-4-13(11)19)23-8-15(25)24(14)9-17(20,21)22/h1-7H,8-9H2","CYP2C19","Desulfurization of thioamide into amide","Human Phase I","Human","2-Oxoquazepam","93250","YFSXBSRGIRSXAD-UHFFFAOYSA-N","InChI=1S/C17H11ClF4N2O/c18-10-5-6-14-12(7-10)16(11-3-1-2-4-13(11)19)23-8-15(25)24(14)9-17(20,21)22/h1-7H,8-9H2","Miura, M and Ohkubo, T (2004); In vitrometabolism of quazepam in human liver and intestine and assessment of drug interactions; Xenobiotica; 34(11-12):1001-11; PMID:15801544; DOI:10.1080/02772240400015214"
"BIOTID00828","quazepam","4999","IKMPWMZBZSAONZ-UHFFFAOYSA-N","InChI=1S/C17H11ClF4N2S/c18-10-5-6-14-12(7-10)16(11-3-1-2-4-13(11)19)23-8-15(25)24(14)9-17(20,21)22/h1-7H,8-9H2","CYP3A4","Desulfurization of thioamide into amide","Human Phase I","Human","2-Oxoquazepam","93250","YFSXBSRGIRSXAD-UHFFFAOYSA-N","InChI=1S/C17H11ClF4N2O/c18-10-5-6-14-12(7-10)16(11-3-1-2-4-13(11)19)23-8-15(25)24(14)9-17(20,21)22/h1-7H,8-9H2","Miura, M and Ohkubo, T (2004); In vitrometabolism of quazepam in human liver and intestine and assessment of drug interactions; Xenobiotica; 34(11-12):1001-11; PMID:15801544; DOI:10.1080/02772240400015214"
"BIOTID00829","quetiapine","5002","URKOMYMAXPYINW-UHFFFAOYSA-N","InChI=1S/C21H25N3O2S/c25-14-16-26-15-13-23-9-11-24(12-10-23)21-17-5-1-3-7-19(17)27-20-8-4-2-6-18(20)22-21/h1-8,25H,9-16H2","CYP3A4","S-Oxidation","Human Phase I","Human","NULL","10431050","FXJNLPUSSHEDON-UHFFFAOYSA-N","InChI=1S/C21H25N3O3S/c25-14-16-27-15-13-23-9-11-24(12-10-23)21-17-5-1-3-7-19(17)28(26)20-8-4-2-6-18(20)22-21/h1-8,25H,9-16H2","PMID:10482125"
"BIOTID00830","quetiapine","5002","URKOMYMAXPYINW-UHFFFAOYSA-N","InChI=1S/C21H25N3O2S/c25-14-16-26-15-13-23-9-11-24(12-10-23)21-17-5-1-3-7-19(17)27-20-8-4-2-6-18(20)22-21/h1-8,25H,9-16H2","CYP2D6","Aromatic Hydroxylation","Human Phase I","Human","NULL","132203","VEGVCHRFYPFJFO-UHFFFAOYSA-N","InChI=1S/C21H25N3O3S/c25-12-14-27-13-11-23-7-9-24(10-8-23)21-17-3-1-2-4-19(17)28-20-15-16(26)5-6-18(20)22-21/h1-6,15,25-26H,7-14H2","PMID:10482125"
"BIOTID00831","quinidine","441074","LOUPRKONTZGTKE-LHHVKLHASA-N","InChI=1S/C20H24N2O2/c1-3-13-12-22-9-7-14(13)10-19(22)20(23)16-6-8-21-18-5-4-15(24-2)11-17(16)18/h3-6,8,11,13-14,19-20,23H,1,7,9-10,12H2,2H3/t13-,14-,19+,20-/m0/s1","CYP3A4","Allylic hydroxylation","Human Phase I","Human","3-Hydroxyquinidine","13217486","BSRUJCFCZKMFMB-LGWHJFRWSA-N","InChI=1S/C20H24N2O3/c1-3-20(24)12-22-9-7-13(20)10-18(22)19(23)15-6-8-21-17-5-4-14(25-2)11-16(15)17/h3-6,8,11,13,18-19,23-24H,1,7,9-10,12H2,2H3/t13-,18+,19-,20+/m0/s1","Brown, C.M. et al. (2008); Cytochromes P450: A Structure-Based Summary of Biotransformations Using Representative Substrates; Drug Metabolism Reviews, 40:1, 1-100, DOI:10.1080/03602530701836662; PMID:18259985"
"BIOTID00832","quinidine","441074","LOUPRKONTZGTKE-LHHVKLHASA-N","InChI=1S/C20H24N2O2/c1-3-13-12-22-9-7-14(13)10-19(22)20(23)16-6-8-21-18-5-4-15(24-2)11-17(16)18/h3-6,8,11,13-14,19-20,23H,1,7,9-10,12H2,2H3/t13-,14-,19+,20-/m0/s1","CYP3A4; CYP2C9; CYP2E1","Oxidation of nitrogen in a strained ring system","Human Phase I","Human","Quinidine-N-oxide","14589189","WVDIZKMXQMCCAA-IKJOXUIJSA-N","InChI=1S/C20H24N2O3/c1-3-13-12-22(24)9-7-14(13)10-19(22)20(23)16-6-8-21-18-5-4-15(25-2)11-17(16)18/h3-6,8,11,13-14,19-20,23H,1,7,9-10,12H2,2H3/t13-,14-,19+,20-,22?/m0/s1","Brown, C.M. et al. (2008); Cytochromes P450: A Structure-Based Summary of Biotransformations Using Representative Substrates; Drug Metabolism Reviews, 40:1, 1-100, DOI:10.1080/03602530701836662; PMID:18259985"
"BIOTID00833","quinine","3034034","LOUPRKONTZGTKE-WZBLMQSHSA-N","InChI=1S/C20H24N2O2/c1-3-13-12-22-9-7-14(13)10-19(22)20(23)16-6-8-21-18-5-4-15(24-2)11-17(16)18/h3-6,8,11,13-14,19-20,23H,1,7,9-10,12H2,2H3/t13-,14-,19-,20+/m0/s1","CYP2C19;CYP3A4","Aliphatic Hydroxylation","Human Phase I","Human","NULL","92","BSRUJCFCZKMFMB-UHFFFAOYSA-N","InChI=1S/C20H24N2O3/c1-3-20(24)12-22-9-7-13(20)10-18(22)19(23)15-6-8-21-17-5-4-14(25-2)11-16(15)17/h3-6,8,11,13,18-19,23-24H,1,7,9-10,12H2,2H3","PMID:8968357"
"BIOTID00834","quinoline","7047","SMWDFEZZVXVKRB-UHFFFAOYSA-N","InChI=1S/C9H7N/c1-2-6-9-8(4-1)5-3-7-10-9/h1-7H","CYP1A2;CYP2A6;CYP2D6;CYP2E1;","EPOXIDATION","Human Phase I","Human","Q-8,6-epoxide","148175","DUTMSHWTRSUNIF-UHFFFAOYSA-N","InChI=1S/C9H7NO/c1-2-6-7(10-5-1)3-4-8-9(6)11-8/h1-5,8-9H","PMID:8824525"
"BIOTID00835","quinoline","7047","SMWDFEZZVXVKRB-UHFFFAOYSA-N","InChI=1S/C9H7N/c1-2-6-9-8(4-1)5-3-7-10-9/h1-7H","CYP1A2;CYP2A6;CYP2E1;CYP3A4","N-OXIDATION","Human Phase I","Human","Quinoline 1-oxide","15366","GIIWGCBLYNDKBO-UHFFFAOYSA-N","InChI=1S/C9H7NO/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-7H","PMID:8824525"
"BIOTID00836","quinoline","7047","SMWDFEZZVXVKRB-UHFFFAOYSA-N","InChI=1S/C9H7N/c1-2-6-9-8(4-1)5-3-7-10-9/h1-7H","CYP1A2;CYP2A6;CYP2E1","AROMATIC HYDROXYLATION","Human Phase I","Human","3OHQ","11376","IQQDNMHUOLMLNJ-UHFFFAOYSA-N","InChI=1S/C9H7NO/c11-8-5-7-3-1-2-4-9(7)10-6-8/h1-6,11H","PMID:8824525"
"BIOTID00837","qun","446536","GPKJTRJOBQGKQK-MRXNPFEDSA-N","InChI=1S/C23H30ClN3O/c1-5-27(6-2)13-7-8-16(3)25-23-19-11-9-17(24)14-22(19)26-21-12-10-18(28-4)15-20(21)23/h9-12,14-16H,5-8,13H2,1-4H3,(H,25,26)/t16-/m1/s1","CYP3A4","N-desethylation","Human Phase I","Human","NULL","45039956","PLRMAPKCAIMEDG-UHFFFAOYSA-N","InChI=1S/C21H26ClN3O/c1-4-23-11-5-6-14(2)24-21-17-9-7-15(22)12-20(17)25-19-10-8-16(26-3)13-18(19)21/h7-10,12-14,23H,4-6,11H2,1-3H3,(H,24,25)","PMID:16581945"
"BIOTID00838","qun","446536","GPKJTRJOBQGKQK-MRXNPFEDSA-N","InChI=1S/C23H30ClN3O/c1-5-27(6-2)13-7-8-16(3)25-23-19-11-9-17(24)14-22(19)26-21-12-10-18(28-4)15-20(21)23/h9-12,14-16H,5-8,13H2,1-4H3,(H,25,26)/t16-/m1/s1","CYP3A4","O-dementhylation","Human Phase I","Human","NULL","416254","YKEDRCDYDREDNL-UHFFFAOYSA-N","InChI=1S/C22H28ClN3O/c1-4-26(5-2)12-6-7-15(3)24-22-18-10-8-16(23)13-21(18)25-20-11-9-17(27)14-19(20)22/h8-11,13-15,27H,4-7,12H2,1-3H3,(H,24,25)","PMID:16581945"
"BIOTID00839","qun","446536","GPKJTRJOBQGKQK-MRXNPFEDSA-N","InChI=1S/C23H30ClN3O/c1-5-27(6-2)13-7-8-16(3)25-23-19-11-9-17(24)14-22(19)26-21-12-10-18(28-4)15-20(21)23/h9-12,14-16H,5-8,13H2,1-4H3,(H,25,26)/t16-/m1/s1","CYP3A4","O-dementhylation","Human Phase I","Human","NULL","19080","IHHSSHCBRVYGJX-UHFFFAOYSA-N","InChI=1S/C14H11ClN2O/c1-18-9-3-5-12-11(7-9)14(16)10-4-2-8(15)6-13(10)17-12/h2-7H,1H3,(H2,16,17)","PMID:16581945"
"BIOTID00840","(R)-mianserin","154412","UEQUQVLFIPOEMF-SFHVURJKSA-N","InChI=1S/C18H20N2/c1-19-10-11-20-17-9-5-3-7-15(17)12-14-6-2-4-8-16(14)18(20)13-19/h2-9,18H,10-13H2,1H3/t18-/m0/s1","CYP2D6; CYP1A2; CYP3A4; CYP2B6","N-dealkylation of alicyclic tertiary amine","Human Phase I","Human","(R)-mianserin, N-Desmethyl","153935","ZBILSSSEXRZGKS-KRWDZBQOSA-N","InChI=1S/C17H18N2/c1-3-7-15-13(5-1)11-14-6-2-4-8-16(14)19-10-9-18-12-17(15)19/h1-8,17-18H,9-12H2/t17-/m0/s1","Wang, B. and Zhou, S.F. (2009); Synthetic and Natural Compounds that Interact with Human Cytochrome P450 1A2 and Implications in Drug Development; Current Medicinal Chemistry; Vol. 16, No. 31; PMID:19754423|Rendic, S., Di Carlo, F. (1997) Human Cytochrome P450 Enzymes: A Status Report Summarizing Their Reactions, Substrates, Inducers, and Inhibitors; Drug Metabolism Reviews, 29:1-2, 413-580; DOI:10.3109/03602539709037591; PMID:9187528"
"BIOTID00841","(R)-mianserin","154412","UEQUQVLFIPOEMF-SFHVURJKSA-N","InChI=1S/C18H20N2/c1-19-10-11-20-17-9-5-3-7-15(17)12-14-6-2-4-8-16(14)18(20)13-19/h2-9,18H,10-13H2,1H3/t18-/m0/s1","CYP2D6; CYP3A4","Aromatic hydroxylation of fused benzene ring","Human Phase I","Human","(R)-mianserin, 8-hydroxy","NULL","IXAPYQICIDTITB-SFHVURJKSA-N","InChI=1S/C18H20N2O/c1-19-8-9-20-17-11-15(21)7-6-14(17)10-13-4-2-3-5-16(13)18(20)12-19/h2-7,11,18,21H,8-10,12H2,1H3/t18-/m0/s1","Wang, B. and Zhou, S.F. (2009); Synthetic and Natural Compounds that Interact with Human Cytochrome P450 1A2 and Implications in Drug Development; Current Medicinal Chemistry; Vol. 16, No. 31; PMID:19754423|Rendic, S., Di Carlo, F. (1997) Human Cytochrome P450 Enzymes: A Status Report Summarizing Their Reactions, Substrates, Inducers, and Inhibitors; Drug Metabolism Reviews, 29:1-2, 413-580; DOI:10.3109/03602539709037591; PMID:9187528"
"BIOTID00842","(R)-mianserin","154412","UEQUQVLFIPOEMF-SFHVURJKSA-N","InChI=1S/C18H20N2/c1-19-10-11-20-17-9-5-3-7-15(17)12-14-6-2-4-8-16(14)18(20)13-19/h2-9,18H,10-13H2,1H3/t18-/m0/s1","CYP3A4","N-oxidation of alicyclic tertiary amine","Human Phase I","Human","(R)-mianserin, N-oxide","29984837","VVDXWJOYXVNLLQ-LROBGIAVSA-N","InChI=1S/C18H20N2O/c1-20(21)11-10-19-17-9-5-3-7-15(17)12-14-6-2-4-8-16(14)18(19)13-20/h2-9,18H,10-13H2,1H3/t18-,20?/m0/s1","Wang, B. and Zhou, S.F. (2009); Synthetic and Natural Compounds that Interact with Human Cytochrome P450 1A2 and Implications in Drug Development; Current Medicinal Chemistry; Vol. 16, No. 31; PMID:19754423|Rendic, S., Di Carlo, F. (1997) Human Cytochrome P450 Enzymes: A Status Report Summarizing Their Reactions, Substrates, Inducers, and Inhibitors; Drug Metabolism Reviews, 29:1-2, 413-580; DOI:10.3109/03602539709037591; PMID:9187528"
"BIOTID00843","raloxifene","5035","GZUITABIAKMVPG-UHFFFAOYSA-N","InChI=1S/C28H27NO4S/c30-21-8-4-20(5-9-21)28-26(24-13-10-22(31)18-25(24)34-28)27(32)19-6-11-23(12-7-19)33-17-16-29-14-2-1-3-15-29/h4-13,18,30-31H,1-3,14-17H2","CYP2D6","Aromatic Hydroxylation","Human Phase I","Human","NULL","102197542","CKWWJQCMSWDCDG-UHFFFAOYSA-N","InChI=1S/C28H27NO5S/c30-20-8-4-19(5-9-20)27-24(22-12-13-23(31)26(33)28(22)35-27)25(32)18-6-10-21(11-7-18)34-17-16-29-14-2-1-3-15-29/h4-13,30-31,33H,1-3,14-17H2","PMID:12119000"
"BIOTID00844","raloxifene","5035","GZUITABIAKMVPG-UHFFFAOYSA-N","InChI=1S/C28H27NO4S/c30-21-8-4-20(5-9-21)28-26(24-13-10-22(31)18-25(24)34-28)27(32)19-6-11-23(12-7-19)33-17-16-29-14-2-1-3-15-29/h4-13,18,30-31H,1-3,14-17H2","CYP2D6","Aromatic Hydroxylation","Human Phase I","Human","NULL","NULL","BZOICNYNBOJKPQ-UHFFFAOYSA-N","InChI=1S/C28H27NO5S/c30-20-7-10-22-25(17-20)35-28(19-6-11-23(31)24(32)16-19)26(22)27(33)18-4-8-21(9-5-18)34-15-14-29-12-2-1-3-13-29/h4-11,16-17,30-32H,1-3,12-15H2","PMID:12119000"
"BIOTID00845","ranitidine","3001055","VMXUWOKSQNHOCA-UKTHLTGXSA-N","InChI=1S/C13H22N4O3S/c1-14-13(9-17(18)19)15-6-7-21-10-12-5-4-11(20-12)8-16(2)3/h4-5,9,14-15H,6-8,10H2,1-3H3/b13-9+","CYP2C19; CYP1A2; CYP2D6","N_DEALKYLATION_OF_ALIPHATIC_TERTIARY_AMINES_PATTERN1; N_DEALKYLATION_OF_ACYCLIC_TERTIARY_AMINES","Human Phase I","Human","Desmethylranitidine","10380064","WZLBVRXZNDXPPW-XYOKQWHBSA-N","InChI=1S/C12H20N4O3S/c1-13-7-10-3-4-11(19-10)9-20-6-5-15-12(14-2)8-16(17)18/h3-4,8,13-15H,5-7,9H2,1-2H3/b12-8+","Brown, C.M. et al. (2008); Cytochromes P450: A Structure-Based Summary of Biotransformations Using Representative Substrates; Drug Metabolism Reviews, 40:1, 1-100, DOI:10.1080/03602530701836662; PMID:18259985"
"BIOTID00846","reboxetine","65856","CBQGYUDMJHNJBX-OALUTQOASA-N","InChI=1S/C19H23NO3/c1-2-21-16-10-6-7-11-17(16)23-19(15-8-4-3-5-9-15)18-14-20-12-13-22-18/h3-11,18-20H,2,12-14H2,1H3/t18-,19-/m0/s1","CYP3A4","Desethylation","Human Phase I","Human","O-desethylreboxetine","10469169","PODXMAMDNUUSTL-UHFFFAOYSA-N","InChI=1S/C17H19NO3/c19-14-8-4-5-9-15(14)21-17(13-6-2-1-3-7-13)16-12-18-10-11-20-16/h1-9,16-19H,10-12H2","PMID:10534319"
"BIOTID00847","reboxetine","65856","CBQGYUDMJHNJBX-OALUTQOASA-N","InChI=1S/C19H23NO3/c1-2-21-16-10-6-7-11-17(16)23-19(15-8-4-3-5-9-15)18-14-20-12-13-22-18/h3-11,18-20H,2,12-14H2,1H3/t18-,19-/m0/s1","CYP3A4","Aromatic Hydroxylation","Human Phase I","Human","Phenol B","NULL","KWIARTUNLAUWCQ-UHFFFAOYSA-N","InChI=1S/C19H23NO4/c1-2-22-17-12-15(21)8-9-16(17)24-19(14-6-4-3-5-7-14)18-13-20-10-11-23-18/h3-9,12,18-21H,2,10-11,13H2,1H3","PMID:10534319"
"BIOTID00848","reboxetine","65856","CBQGYUDMJHNJBX-OALUTQOASA-N","InChI=1S/C19H23NO3/c1-2-21-16-10-6-7-11-17(16)23-19(15-8-4-3-5-9-15)18-14-20-12-13-22-18/h3-11,18-20H,2,12-14H2,1H3/t18-,19-/m0/s1","CYP3A4","Aromatic Hydroxylation","Human Phase I","Human","Phenol A","NULL","SHPSERQFHJFJAW-UHFFFAOYSA-N","InChI=1S/C19H23NO4/c1-2-22-16-9-8-15(21)12-17(16)24-19(14-6-4-3-5-7-14)18-13-20-10-11-23-18/h3-9,12,18-21H,2,10-11,13H2,1H3","PMID:10534319"
"BIOTID00849","reduced_dolasetron","NULL","MLWGAEVSWJXOQJ-XYLOAFBBSA-N","InChI=1S/C19H22N2O3/c22-18-10-21-12-5-11(18)6-13(21)8-14(7-12)24-19(23)16-9-20-17-4-2-1-3-15(16)17/h1-4,9,11-14,18,20,22H,5-8,10H2/t11?,12-,13+,14?,18-/m1/s1","CYP3A4","Oxidation of nitrogen in a strained ring system","Human Phase I","Human","Dolasetron N-oxide","NULL","HISIYQCTEKKZGZ-KXFXSALQSA-N","InChI=1S/C19H22N2O4/c22-18-10-21(24)12-5-11(18)6-13(21)8-14(7-12)25-19(23)16-9-20-17-4-2-1-3-15(16)17/h1-4,9,11-14,18,20,22H,5-8,10H2/t11?,12-,13+,14?,18-,21?/m1/s1","Brown, C.M. et al. (2008); Cytochromes P450: A Structure-Based Summary of Biotransformations Using Representative Substrates; Drug Metabolism Reviews, 40:1, 1-100, DOI:10.1080/03602530701836662; PMID:18259985"
"BIOTID00850","reduced_dolasetron","NULL","MLWGAEVSWJXOQJ-XYLOAFBBSA-N","InChI=1S/C19H22N2O3/c22-18-10-21-12-5-11(18)6-13(21)8-14(7-12)24-19(23)16-9-20-17-4-2-1-3-15(16)17/h1-4,9,11-14,18,20,22H,5-8,10H2/t11?,12-,13+,14?,18-/m1/s1","CYP2D6 (major); CYP3A4; CYP2C9","Aromatic hydroxylation of fused benzene ring","Human Phase I","Human","6-Hydroxydolasetron","NULL","ZMHGUJOFLCUYPP-HGBKZWNCSA-N","InChI=1S/C19H22N2O4/c22-13-1-2-15-16(8-20-17(15)7-13)19(24)25-14-5-11-3-10-4-12(6-14)21(11)9-18(10)23/h1-2,7-8,10-12,14,18,20,22-23H,3-6,9H2/t10?,11-,12+,14?,18-/m1/s1","Brown, C.M. et al. (2008); Cytochromes P450: A Structure-Based Summary of Biotransformations Using Representative Substrates; Drug Metabolism Reviews, 40:1, 1-100, DOI:10.1080/03602530701836662; PMID:18259985"
"BIOTID00851","reduced_dolasetron","NULL","MLWGAEVSWJXOQJ-XYLOAFBBSA-N","InChI=1S/C19H22N2O3/c22-18-10-21-12-5-11(18)6-13(21)8-14(7-12)24-19(23)16-9-20-17-4-2-1-3-15(16)17/h1-4,9,11-14,18,20,22H,5-8,10H2/t11?,12-,13+,14?,18-/m1/s1","CYP2D6; CYP2C9","Aromatic hydroxylation of fused benzene ring","Human Phase I","Human","5-Hydroxydolasetron","NULL","GQVSIRWNARNIIA-HGBKZWNCSA-N","InChI=1S/C19H22N2O4/c22-13-1-2-17-15(7-13)16(8-20-17)19(24)25-14-5-11-3-10-4-12(6-14)21(11)9-18(10)23/h1-2,7-8,10-12,14,18,20,22-23H,3-6,9H2/t10?,11-,12+,14?,18-/m1/s1","Brown, C.M. et al. (2008); Cytochromes P450: A Structure-Based Summary of Biotransformations Using Representative Substrates; Drug Metabolism Reviews, 40:1, 1-100, DOI:10.1080/03602530701836662; PMID:18259985"
"BIOTID00852","reduced_dolasetron","NULL","MLWGAEVSWJXOQJ-XYLOAFBBSA-N","InChI=1S/C19H22N2O3/c22-18-10-21-12-5-11(18)6-13(21)8-14(7-12)24-19(23)16-9-20-17-4-2-1-3-15(16)17/h1-4,9,11-14,18,20,22H,5-8,10H2/t11?,12-,13+,14?,18-/m1/s1","CYP2D6; CYP2C9","Aromatic hydroxylation of fused benzene ring","Human Phase I","Human","7-Hydroxydolasetron","NULL","OBVOORYFKGUOIG-MJRCBCLYSA-N","InChI=1S/C19H22N2O4/c22-16-3-1-2-14-15(8-20-18(14)16)19(24)25-13-6-11-4-10-5-12(7-13)21(11)9-17(10)23/h1-3,8,10-13,17,20,22-23H,4-7,9H2/t10?,11-,12+,13?,17-/m1/s1","Brown, C.M. et al. (2008); Cytochromes P450: A Structure-Based Summary of Biotransformations Using Representative Substrates; Drug Metabolism Reviews, 40:1, 1-100, DOI:10.1080/03602530701836662; PMID:18259985"
"BIOTID00853","repaglinide","65981","FAEKWTJYAYMJKF-QHCPKHFHSA-N","InChI=1S/C27H36N2O4/c1-4-33-25-17-20(12-13-22(25)27(31)32)18-26(30)28-23(16-19(2)3)21-10-6-7-11-24(21)29-14-8-5-9-15-29/h6-7,10-13,17,19,23H,4-5,8-9,14-16,18H2,1-3H3,(H,28,30)(H,31,32)/t23-/m0/s1","CYP2C8;CYP3A4","Aliphatic Hydroxylation","Human Phase I","Human","NULL","46781896","OBMAZJVHPAVADF-UHFFFAOYSA-N","InChI=1S/C27H36N2O5/c1-4-34-25-15-19(11-12-22(25)27(32)33)16-26(31)28-23(14-18(2)3)21-9-5-6-10-24(21)29-13-7-8-20(30)17-29/h5-6,9-12,15,18,20,23,30H,4,7-8,13-14,16-17H2,1-3H3,(H,28,31)(H,32,33)","PMID:12919179"
"BIOTID00854","repaglinide","65981","FAEKWTJYAYMJKF-QHCPKHFHSA-N","InChI=1S/C27H36N2O4/c1-4-33-25-17-20(12-13-22(25)27(31)32)18-26(30)28-23(16-19(2)3)21-10-6-7-11-24(21)29-14-8-5-9-15-29/h6-7,10-13,17,19,23H,4-5,8-9,14-16,18H2,1-3H3,(H,28,30)(H,31,32)/t23-/m0/s1","CYP2C8;CYP3A4","Aliphatic Hydroxylation","Human Phase I","Human","NULL","NULL","UEOAQSOFPSCIAE-UHFFFAOYSA-N","InChI=1S/C27H36N2O5/c1-4-34-24-16-19(12-13-21(24)26(31)32)17-25(30)28-22(18-27(2,3)33)20-10-6-7-11-23(20)29-14-8-5-9-15-29/h6-7,10-13,16,22,33H,4-5,8-9,14-15,17-18H2,1-3H3,(H,28,30)(H,31,32)","PMID:12919179"
"BIOTID00855","repaglinide","65981","FAEKWTJYAYMJKF-QHCPKHFHSA-N","InChI=1S/C27H36N2O4/c1-4-33-25-17-20(12-13-22(25)27(31)32)18-26(30)28-23(16-19(2)3)21-10-6-7-11-24(21)29-14-8-5-9-15-29/h6-7,10-13,17,19,23H,4-5,8-9,14-16,18H2,1-3H3,(H,28,30)(H,31,32)/t23-/m0/s1","CYP3A4","O-Demethylation","Human Phase I","Human","NULL","22132924","FTKOIWGNBGHHGC-UHFFFAOYSA-N","InChI=1S/C25H32N2O4/c1-17(2)14-21(19-8-4-5-9-22(19)27-12-6-3-7-13-27)26-24(29)16-18-10-11-20(25(30)31)23(28)15-18/h4-5,8-11,15,17,21,28H,3,6-7,12-14,16H2,1-2H3,(H,26,29)(H,30,31)","PMID:12919179"
"BIOTID00856","repaglinide","65981","FAEKWTJYAYMJKF-QHCPKHFHSA-N","InChI=1S/C27H36N2O4/c1-4-33-25-17-20(12-13-22(25)27(31)32)18-26(30)28-23(16-19(2)3)21-10-6-7-11-24(21)29-14-8-5-9-15-29/h6-7,10-13,17,19,23H,4-5,8-9,14-16,18H2,1-3H3,(H,28,30)(H,31,32)/t23-/m0/s1","CYP2C8;CYP3A4","N-dealkylation","Human Phase I","Human","NULL","57826284","OSCVKZCOJUTUFD-UHFFFAOYSA-N","InChI=1S/C22H28N2O4/c1-4-28-20-12-15(9-10-17(20)22(26)27)13-21(25)24-19(11-14(2)3)16-7-5-6-8-18(16)23/h5-10,12,14,19H,4,11,13,23H2,1-3H3,(H,24,25)(H,26,27)","PMID:12919179"
"BIOTID00857","repaglinide","65981","FAEKWTJYAYMJKF-QHCPKHFHSA-N","InChI=1S/C27H36N2O4/c1-4-33-25-17-20(12-13-22(25)27(31)32)18-26(30)28-23(16-19(2)3)21-10-6-7-11-24(21)29-14-8-5-9-15-29/h6-7,10-13,17,19,23H,4-5,8-9,14-16,18H2,1-3H3,(H,28,30)(H,31,32)/t23-/m0/s1","CYP2C8;CYP3A4","N-dealkylation","Human Phase I","Human","NULL","NULL","KAVQVMXQUQWQJZ-UHFFFAOYSA-N","InChI=1S/C26H36N2O5/c1-4-33-24-16-19(11-12-21(24)26(31)32)17-25(30)28-23(15-18(2)3)20-9-5-6-10-22(20)27-13-7-8-14-29/h5-6,9-12,16,18,23,27,29H,4,7-8,13-15,17H2,1-3H3,(H,28,30)(H,31,32)","PMID:12919179"
"BIOTID00858","retinal","638015","NCYCYZXNIZJOKI-OVSJKPMPSA-N","InChI=1S/C20H28O/c1-16(8-6-9-17(2)13-15-21)11-12-19-18(3)10-7-14-20(19,4)5/h6,8-9,11-13,15H,7,10,14H2,1-5H3/b9-6+,12-11+,16-8+,17-13+","CYP1A2; CYP1A2; CYP1B1","Aldehyde oxidation","Human Phase I","Human","all-trans retinoic acid","444795","SHGAZHPCJJPHSC-YCNIQYBTSA-N","InChI=1S/C20H28O2/c1-15(8-6-9-16(2)14-19(21)22)11-12-18-17(3)10-7-13-20(18,4)5/h6,8-9,11-12,14H,7,10,13H2,1-5H3,(H,21,22)/b9-6+,12-11+,15-8+,16-14+","Wang, B. and Zhou, S.F. (2009); Synthetic and Natural Compounds that Interact with Human Cytochrome P450 1A2 and Implications in Drug Development; Current Medicinal Chemistry; Vol. 16, No. 31; PMID:19754423"
"BIOTID00859","retinal","638015","NCYCYZXNIZJOKI-OVSJKPMPSA-N","InChI=1S/C20H28O/c1-16(8-6-9-17(2)13-15-21)11-12-19-18(3)10-7-14-20(19,4)5/h6,8-9,11-13,15H,7,10,14H2,1-5H3/b9-6+,12-11+,16-8+,17-13+","CYP1A2; CYP2C8;CYP2C9;CYP2C19;CYP2D6;CYP3A4","Aliphatic Hydroxylation","Human Phase I","Human","Tretinoin","444795","SHGAZHPCJJPHSC-YCNIQYBTSA-N","InChI=1S/C20H28O2/c1-15(8-6-9-16(2)14-19(21)22)11-12-18-17(3)10-7-13-20(18,4)5/h6,8-9,11-12,14H,7,10,13H2,1-5H3,(H,21,22)/b9-6+,12-11+,15-8+,16-14+","PMID:10681373;PMID:10681376"
