Name,InChIKey,InChI,PubChem_CID,SMILES,Synonym1,Synonym2
Unii-wuu5ros9AF,BMPDSCNEIPYGDD-UHFFFAOYSA-N,"InChI=1S/C22H26N8OS/c1-14-12-19(29-28-14)25-18-13-20(30-10-8-23-9-11-30)27-22(26-18)32-17-6-4-16(5-7-17)24-21(31)15-2-3-15/h4-7,12-13,15,23H,2-3,8-11H2,1H3,(H,24,31)(H2,25,26,27,28,29)",10321534,Cc1cc(=Nc2cc(nc(n2)Sc2ccc(cc2)NC(=O)C2CC2)N2CCNCC2)[nH][nH]1,,
Nornalmefene O-glucuronide,DKWNNQJPZBNSJW-WUDROUKASA-N,"InChI=1S/C23H27NO9/c1-9-4-5-23(30)12-8-10-2-3-11(17-13(10)22(23,6-7-24-12)19(9)32-17)31-21-16(27)14(25)15(26)18(33-21)20(28)29/h2-3,12,14-16,18-19,21,24-27,30H,1,4-8H2,(H,28,29)/t12-,14+,15+,16-,18+,19+,21-,22+,23-/m1/s1",10322049,C=C1CC[C@]2([C@H]3Cc4ccc(c5c4[C@@]2(CCN3)[C@H]1O5)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O1)O)O)O)O,,
"N-[3-(N,NDiethylamino)propyl]-N-phenyl-2-aminoindan-5-ol",LOCYZRRMXVRONA-UHFFFAOYSA-N,"InChI=1S/C22H30N2O/c1-3-23(4-2)13-8-14-24(20-9-6-5-7-10-20)21-15-18-11-12-22(25)17-19(18)16-21/h5-7,9-12,17,21,25H,3-4,8,13-16H2,1-2H3",10337233,CCN(CC)CCCN(c1ccccc1)C1Cc2ccc(cc2C1)O,,
beta-artelinic acid,UVNHKOOJXSALHN-ILQPJIFQSA-N,"InChI=1S/C23H30O7/c1-13-4-9-18-14(2)20(26-12-15-5-7-16(8-6-15)19(24)25)27-21-23(18)17(13)10-11-22(3,28-21)29-30-23/h5-8,13-14,17-18,20-21H,4,9-12H2,1-3H3,(H,24,25)/t13-,14-,17+,18+,20+,21-,22-,23-/m1/s1",10341948,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](OCc3ccc(cc3)C(=O)O)O[C@H]3[C@]42[C@H]1CC[C@](C)(O3)OO4,,
Norhydromorphone,SWIRXSKBBSJXGY-UIHHKEIPSA-N,"InChI=1S/C16H17NO3/c18-11-3-1-8-7-10-9-2-4-12(19)15-16(9,5-6-17-10)13(8)14(11)20-15/h1,3,9-10,15,17-18H,2,4-7H2/t9-,10+,15-,16-/m0/s1",10355824,c1cc(c2c3c1C[C@@H]1[C@@H]4CCC(=O)[C@@H]([C@]34CCN1)O2)O,,
"(6-methoxy-1H-indol-3-yl)-(3,4,5-trimethoxyphenyl)methanone",UZJVBXKFBQNDTQ-UHFFFAOYSA-N,"InChI=1S/C19H19NO5/c1-22-12-5-6-13-14(10-20-15(13)9-12)18(21)11-7-16(23-2)19(25-4)17(8-11)24-3/h5-10,20H,1-4H3",10359957,COc1ccc2c(c[nH]c2c1)C(=O)c1cc(c(c(c1)OC)OC)OC,bpr-0L075,
"(2S,3S,4S,5R)-3,4,5-Trihydroxy-6-(5-hydroxy-6-methoxy-4-oxo-2-phenylchromen-7-yl)oxyoxane-2-carboxylic acid",QXIPXNZUEQYPLZ-ICNUUSJMSA-N,"InChI=1S/C22H20O11/c1-30-19-13(32-22-18(27)16(25)17(26)20(33-22)21(28)29)8-12-14(15(19)24)10(23)7-11(31-12)9-5-3-2-4-6-9/h2-8,16-18,20,22,24-27H,1H3,(H,28,29)/t16-,17-,18+,20-,22?/m0/s1",10366977,COc1c(cc2c(c(=O)cc(c3ccccc3)o2)c1O)OC1[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O1)O)O)O,,
"5-Ethyl-4-(2-phenoxyethyl)-2-(3-hydroxypropyl)-2H-1,2,4-triazol-3(4H)-one",CKTZILJMZWVYIO-UHFFFAOYSA-N,"InChI=1S/C15H21N3O3/c1-2-14-16-18(9-6-11-19)15(20)17(14)10-12-21-13-7-4-3-5-8-13/h3-5,7-8,19H,2,6,9-12H2,1H3",10379527,CCc1nn(CCCO)c(=O)n1CCOc1ccccc1,,
Desmethylranitidine,WZLBVRXZNDXPPW-XYOKQWHBSA-N,"InChI=1S/C12H20N4O3S/c1-13-7-10-3-4-11(19-10)9-20-6-5-15-12(14-2)8-16(17)18/h3-4,8,13-15H,5-7,9H2,1-2H3/b12-8+",10380064,CNCc1ccc(CSCCN/C(=C/N(=O)=O)/NC)o1,,
"5-Chloro-3-hydroxy-2,2-dimethyl-N-(8-methyl-8-azabicyclo[3.2.1]octan-3-yl)-3H-1-benzofuran-7-carboxamide",NBWGHXIOQAPXMZ-UHFFFAOYSA-N,"InChI=1S/C19H25ClN2O3/c1-19(2)17(23)14-6-10(20)7-15(16(14)25-19)18(24)21-11-8-12-4-5-13(9-11)22(12)3/h6-7,11-13,17,23H,4-5,8-9H2,1-3H3,(H,21,24)",10384207,CC1(C)C(c2cc(cc(c2O1)C(=NC1CC2CCC(C1)N2C)O)Cl)O,,
Lansoprazole Sulfone,TVMJMCGRSSSSDJ-UHFFFAOYSA-N,"InChI=1S/C16H14F3N3O3S/c1-10-13(20-7-6-14(10)25-9-16(17,18)19)8-26(23,24)15-21-11-4-2-3-5-12(11)22-15/h2-7H,8-9H2,1H3,(H,21,22)",10385385,Cc1c(CS(=O)(=O)c2nc3ccccc3[nH]2)nccc1OCC(F)(F)F,,
Dehydro Nisoldipine,PCNPLNDGLOCZGS-UHFFFAOYSA-N,"InChI=1S/C20H22N2O6/c1-11(2)10-28-20(24)17-13(4)21-12(3)16(19(23)27-5)18(17)14-8-6-7-9-15(14)22(25)26/h6-9,11H,10H2,1-5H3",10385461,CC(C)COC(=O)c1c(C)nc(C)c(c1c1ccccc1N(=O)=O)C(=O)OC,,
"3,4-Dihydroxy-Tamoxifen",XFIRLPDGPAOZML-WNAAXNPUSA-N,"InChI=1S/C26H29NO3/c1-4-23(19-8-6-5-7-9-19)26(21-12-15-24(28)25(29)18-21)20-10-13-22(14-11-20)30-17-16-27(2)3/h5-15,18,28-29H,4,16-17H2,1-3H3/b26-23+",10386463,CC/C(=C(/c1ccc(cc1)OCCN(C)C)\c1ccc(c(c1)O)O)/c1ccccc1,,
6-alpha-OH DEXAMETHASONE,RVBSTEHLLHXILB-GQKYHHCASA-N,"InChI=1S/C22H29FO6/c1-11-6-13-14-8-16(26)15-7-12(25)4-5-19(15,2)21(14,23)17(27)9-20(13,3)22(11,29)18(28)10-24/h4-5,7,11,13-14,16-17,24,26-27,29H,6,8-10H2,1-3H3/t11-,13+,14+,16+,17+,19+,20+,21+,22+/m1/s1",10386732,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@]4(C)[C@]3([C@H](C[C@]2(C)[C@]1(C(=O)CO)O)O)F)O,,
"1-[(E)-[5-(4-Chlorophenyl)furan-2-yl]methylideneamino]-3-(4-piperazin-1-ylbutyl)imidazolidine-2,4-dione",XNIVKBOABXGBLB-MFKUBSTISA-N,"InChI=1S/C22H26ClN5O3/c23-18-5-3-17(4-6-18)20-8-7-19(31-20)15-25-28-16-21(29)27(22(28)30)12-2-1-11-26-13-9-24-10-14-26/h3-8,15,24H,1-2,9-14,16H2/b25-15+",10388708,C(CCN1C(=O)CN(C1=O)/N=C/c1ccc(c2ccc(cc2)Cl)o1)CN1CCNCC1,,
3-hydroxycyclopentyl N-[3-({2-methoxy-4-[(2-methylbenzenesulfonyl)carbamoyl]phenyl}methyl)-1-methylindol-5-yl]carbamate,OPQKYGDYABHOST-UHFFFAOYSA-N,"InChI=1S/C31H33N3O7S/c1-19-6-4-5-7-29(19)42(38,39)33-30(36)21-9-8-20(28(15-21)40-3)14-22-18-34(2)27-13-10-23(16-26(22)27)32-31(37)41-25-12-11-24(35)17-25/h4-10,13,15-16,18,24-25,35H,11-12,14,17H2,1-3H3,(H,32,37)(H,33,36)",10393637,Cc1ccccc1S(=O)(=O)N=C(c1ccc(Cc2cn(C)c3ccc(cc23)N=C(O)OC2CCC(C2)O)c(c1)OC)O,,
Mexiletine alcohol,QFOWJPBDGSGFEJ-UHFFFAOYSA-N,"InChI=1S/C11H16O2/c1-8-5-4-6-9(2)11(8)13-7-10(3)12/h4-6,10,12H,7H2,1-3H3",10397396,Cc1cccc(C)c1OCC(C)O,,
4-(2-(Propylamino)ethyl)indolin-2-one,VKDWFHAQOZYATG-UHFFFAOYSA-N,"InChI=1S/C13H18N2O/c1-2-7-14-8-6-10-4-3-5-12-11(10)9-13(16)15-12/h3-5,14H,2,6-9H2,1H3,(H,15,16)",10398490,CCCNCCc1cccc2c1CC(=N2)O,,
N-demethyl-cyamemazine,RJBGVEFRAZYALY-UHFFFAOYSA-N,"InChI=1S/C18H19N3S/c1-13(11-20-2)12-21-15-5-3-4-6-17(15)22-18-8-7-14(10-19)9-16(18)21/h3-9,13,20H,11-12H2,1-2H3",10403087,CC(CNC)CN1c2ccccc2Sc2ccc(cc12)C#N,,
"(2S,3S,4S,5R)-6-(4-Acetamidophenoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid",IPROLSVTVHAQLE-ZAOAHOKWSA-N,"InChI=1S/C14H17NO8/c1-6(16)15-7-2-4-8(5-3-7)22-14-11(19)9(17)10(18)12(23-14)13(20)21/h2-5,9-12,14,17-19H,1H3,(H,15,16)(H,20,21)/t9-,10-,11+,12-,14?/m0/s1",10404153,CC(=Nc1ccc(cc1)OC1[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O1)O)O)O)O,,
5'-O-Desmethyl omeprazole,TWXDTVZNDQKCOS-UHFFFAOYSA-N,"InChI=1S/C16H17N3O3S/c1-9-7-17-14(10(2)15(9)22-3)8-23(21)16-18-12-5-4-11(20)6-13(12)19-16/h4-7,20H,8H2,1-3H3,(H,18,19)",10404448,Cc1cnc(CS(=O)c2nc3ccc(cc3[nH]2)O)c(C)c1OC,,
2-chloro-4-(piperazin-1-yl)phenol,FXECOYYRPDGOQB-UHFFFAOYSA-N,"InChI=1S/C10H13ClN2O/c11-9-7-8(1-2-10(9)14)13-5-3-12-4-6-13/h1-2,7,12,14H,3-6H2",10420741,c1cc(c(cc1N1CCNCC1)Cl)O,,
"9-Methoxy-5,7,11-trioxatetracyclo[8.4.0.03,8.04,6]tetradeca-1,3(8),9,13-tetraen-12-one",YSTVXEFXPUPSCK-UHFFFAOYSA-N,"InChI=1S/C12H8O5/c1-14-11-8-5(2-3-7(13)15-8)4-6-9(11)16-12-10(6)17-12/h2-4,10,12H,1H3",10421433,COc1c2c(ccc(=O)o2)cc2c1OC1C2O1,,
4-{3-[4-(diphenylmethyl)piperazin-1-yl]prop-1-en-1-yl}phenol,QFWMZESBHJUDQQ-BQYQJAHWSA-N,"InChI=1S/C26H28N2O/c29-25-15-13-22(14-16-25)8-7-17-27-18-20-28(21-19-27)26(23-9-3-1-4-10-23)24-11-5-2-6-12-24/h1-16,26,29H,17-21H2/b8-7+",10430125,c1ccc(cc1)C(c1ccccc1)N1CCN(C/C=C/c2ccc(cc2)O)CC1,,
Quetiapine Sulfoxide,FXJNLPUSSHEDON-UHFFFAOYSA-N,"InChI=1S/C21H25N3O3S/c25-14-16-27-15-13-23-9-11-24(12-10-23)21-17-5-1-3-7-19(17)28(26)20-8-4-2-6-18(20)22-21/h1-8,25H,9-16H2",10431050,c1ccc2c(c1)C(=Nc1ccccc1S2=O)N1CCN(CC1)CCOCCO,,
O-Demethylnimodipine,PWPBMCUBOQNEJD-UHFFFAOYSA-N,"InChI=1S/C20H22N2O7/c1-11(2)29-20(25)17-13(4)21-12(3)16(19(24)28-9-8-23)18(17)14-6-5-7-15(10-14)22(26)27/h5-7,10-11,23H,8-9H2,1-4H3",10431202,CC(C)OC(=O)c1c(C)nc(C)c(c1c1cccc(c1)N(=O)=O)C(=O)OCCO,Unii-96S4GG1upr,
P-Hydroxynefazodone,XGIODORTBODPTQ-UHFFFAOYSA-N,"InChI=1S/C25H32ClN5O3/c1-2-24-27-31(25(33)30(24)17-18-34-21-7-4-3-5-8-21)12-6-11-28-13-15-29(16-14-28)20-9-10-23(32)22(26)19-20/h3-5,7-10,19,32H,2,6,11-18H2,1H3",10435492,CCc1nn(CCCN2CCN(CC2)c2ccc(c(c2)Cl)O)c(=O)n1CCOc1ccccc1,"1-{3-[4-(3-chloro-4-hydroxyphenyl)piperazin-1-yl]propyl}-3-ethyl-4-(2-phenoxyethyl)-4,5-dihydro-1H-1,2,4-triazol-5-one","2-[3-[4-(3-Chloro-4-hydroxyphenyl)piperazin-1-yl]propyl]-5-ethyl-4-(2-phenoxyethyl)-1,2,4-triazol-3-one"
"5-(2-Ethyltetrazol-5-yl)-1-methyl-1-oxido-3,6-dihydro-2H-pyridin-1-ium",DTAHTIJECGXNNN-UHFFFAOYSA-N,"InChI=1S/C9H15N5O/c1-3-13-11-9(10-12-13)8-5-4-6-14(2,15)7-8/h5H,3-4,6-7H2,1-2H3",10443071,CCn1nc(C2=CCCN(=O)(C)C2)nn1,,
"1-propanol, 3-[3-(1-piperidinylmethyl)phenoxy]-",JACPUZOKPSTMTK-UHFFFAOYSA-N,"InChI=1S/C15H23NO2/c17-10-5-11-18-15-7-4-6-14(12-15)13-16-8-2-1-3-9-16/h4,6-7,12,17H,1-3,5,8-11,13H2",10444765,C1CCN(CC1)Cc1cccc(c1)OCCCO,,
"[4-Hydroxy-3,5-di(propan-2-yl)phenyl] hydrogen sulfate",RKAQPQOYAJQIAA-UHFFFAOYSA-N,"InChI=1S/C12H18O5S/c1-7(2)10-5-9(17-18(14,15)16)6-11(8(3)4)12(10)13/h5-8,13H,1-4H3,(H,14,15,16)",10446031,CC(C)c1cc(cc(C(C)C)c1O)OS(=O)(=O)O,,
5-Hydroxypropranolol,WMYPGILKDMWISO-UHFFFAOYSA-N,"InChI=1S/C16H21NO3/c1-11(2)17-9-12(18)10-20-16-8-4-5-13-14(16)6-3-7-15(13)19/h3-8,11-12,17-19H,9-10H2,1-2H3",10446087,CC(C)NCC(COc1cccc2c1cccc2O)O,,
"5,6-dimethoxy-2-(piperidin-4-ylmethyl)-2,3-dihydroinden-1-one",PGBZORAISITZTF-UHFFFAOYSA-N,"InChI=1S/C17H23NO3/c1-20-15-9-12-8-13(7-11-3-5-18-6-4-11)17(19)14(12)10-16(15)21-2/h9-11,13,18H,3-8H2,1-2H3",10446897,COc1cc2CC(CC3CCNCC3)C(=O)c2cc1OC,,
"(6-Hydroxy-1H-indol-3-yl)-(3,4,5-trimethoxyphenyl)methanone",FWYFKYJHENUGSZ-UHFFFAOYSA-N,"InChI=1S/C18H17NO5/c1-22-15-6-10(7-16(23-2)18(15)24-3)17(21)13-9-19-14-8-11(20)4-5-12(13)14/h4-9,19-20H,1-3H3",10449104,COc1cc(cc(c1OC)OC)C(=O)c1c[nH]c2cc(ccc12)O,,
N-Dealkylated perphenazine,ZWIQAXTYRCAVFE-UHFFFAOYSA-N,"InChI=1S/C19H22ClN3S/c20-15-6-7-19-17(14-15)23(16-4-1-2-5-18(16)24-19)11-3-10-22-12-8-21-9-13-22/h1-2,4-7,14,21H,3,8-13H2",10451115,c1ccc2c(c1)N(CCCN1CCNCC1)c1cc(ccc1S2)Cl,,
"5,7,11-Trioxatetracyclo[8.4.0.03,8.04,6]tetradeca-1,3(8),9,13-tetraen-12-one",WHALJTOJMFKOIS-UHFFFAOYSA-N,"InChI=1S/C11H6O4/c12-9-2-1-5-3-6-8(4-7(5)13-9)14-11-10(6)15-11/h1-4,10-11H",10465439,c1cc(=O)oc2cc3c(cc12)C1C(O3)O1,,
N-Desmethylmirtazapine,FGLAMNFOHWVQOH-UHFFFAOYSA-N,"InChI=1S/C16H17N3/c1-2-6-14-12(4-1)10-13-5-3-7-18-16(13)19-9-8-17-11-15(14)19/h1-7,15,17H,8-11H2",10467350,c1ccc2c(c1)Cc1cccnc1N1CCNCC21,,
O-desethylreboxetine,PODXMAMDNUUSTL-UHFFFAOYSA-N,"InChI=1S/C17H19NO3/c19-14-8-4-5-9-15(14)21-17(13-6-2-1-3-7-13)16-12-18-10-11-20-16/h1-9,16-19H,10-12H2",10469169,c1ccc(cc1)C(C1CNCCO1)Oc1ccccc1O,,
"4H-1-Benzopyran-4-one, 3-(4-hydroxyphenyl)-7-(1-methylethoxy)-",DEQMUPGWSXUDKV-UHFFFAOYSA-N,"InChI=1S/C18H16O4/c1-11(2)22-14-7-8-15-17(9-14)21-10-16(18(15)20)12-3-5-13(19)6-4-12/h3-11,19H,1-2H3",10469827,CC(C)Oc1ccc2c(c1)occ(c1ccc(cc1)O)c2=O,,
alpha-Hydroxy-N-desmethyltamoxifen,GREXPZNIZPCGIV-IZHYLOQSSA-N,"InChI=1S/C25H27NO2/c1-19(27)24(20-9-5-3-6-10-20)25(21-11-7-4-8-12-21)22-13-15-23(16-14-22)28-18-17-26-2/h3-16,19,26-27H,17-18H2,1-2H3/b25-24-",10474509,CC(/C(=C(\c1ccccc1)/c1ccc(cc1)OCCNC)/c1ccccc1)O,,
2-[1-(4-Chlorobenzoyl)-5-methoxy-2-methylindol-3-yl]-N-(2-hydroxy-2-phenylethyl)acetamide,AOIQKSHKQIJFMK-UHFFFAOYSA-N,"InChI=1S/C27H25ClN2O4/c1-17-22(15-26(32)29-16-25(31)18-6-4-3-5-7-18)23-14-21(34-2)12-13-24(23)30(17)27(33)19-8-10-20(28)11-9-19/h3-14,25,31H,15-16H2,1-2H3,(H,29,32)",10480135,Cc1c(CC(=NCC(c2ccccc2)O)O)c2cc(ccc2n1C(=O)c1ccc(cc1)Cl)OC,,
4-[3-[4-[2-[Bis(4-fluorophenyl)methoxy]ethyl]piperazino]propyl]phenol,KEPMHFZSPIKKQX-UHFFFAOYSA-N,"InChI=1S/C28H32F2N2O2/c29-25-9-5-23(6-10-25)28(24-7-11-26(30)12-8-24)34-21-20-32-18-16-31(17-19-32)15-1-2-22-3-13-27(33)14-4-22/h3-14,28,33H,1-2,15-21H2",10504397,C(Cc1ccc(cc1)O)CN1CCN(CC1)CCOC(c1ccc(cc1)F)c1ccc(cc1)F,,
"4,5,6,7-Tetrahydro-2-[4-[4-(1,2-benzisothiazole-3-yl)piperazino]butyl]-2H-isoindole-1,3-dione",WPHIJPAZRBKVBU-UHFFFAOYSA-N,"InChI=1S/C23H28N4O2S/c28-22-17-7-1-2-8-18(17)23(29)27(22)12-6-5-11-25-13-15-26(16-14-25)21-19-9-3-4-10-20(19)30-24-21/h3-4,9-10H,1-2,5-8,11-16H2",10526361,C1CCC2=C(C1)C(=O)N(CCCCN1CCN(CC1)c1c3ccccc3sn1)C2=O,,
p-Hydroxy-gavestinel,KAIGNSIVVAINPQ-AATRIKPKSA-N,"InChI=1S/C18H12Cl2N2O4/c19-9-7-13(20)16-12(17(18(25)26)22-14(16)8-9)5-6-15(24)21-10-1-3-11(23)4-2-10/h1-8,22-23H,(H,21,24)(H,25,26)/b6-5+",10548468,c1cc(ccc1NC(=O)/C=C/c1c2c(cc(cc2[nH]c1C(=O)O)Cl)Cl)O,,
"3-(3-Piperazin-1-yl-propyl)-5-[1,2,4]triazol-4-yl-1H-indole",OOQZMTKUJVKASW-UHFFFAOYSA-N,"InChI=1S/C17H22N6/c1(7-22-8-5-18-6-9-22)2-14-11-19-17-4-3-15(10-16(14)17)23-12-20-21-13-23/h3-4,10-13,18-19H,1-2,5-9H2",10614907,C(Cc1c[nH]c2ccc(cc12)n1cnnc1)CN1CCNCC1,,
"2,4-Dihydroxyacetophenone 5-sulfate",COXWPCPYWFBNJH-UHFFFAOYSA-N,"InChI=1S/C8H8O6S/c1-5(9)7-3-2-6(10)4-8(7)14-15(11,12)13/h2-4,10H,1H3,(H,11,12,13)",10657183,CC(=O)c1ccc(cc1OS(=O)(=O)O)O,,
"Sulfuric acid 2,4-dinitrobenzyl ester",ZKVQMAQWFWHLEU-UHFFFAOYSA-N,"InChI=1S/C7H6N2O8S/c10-8(11)6-2-1-5(4-17-18(14,15)16)7(3-6)9(12)13/h1-3H,4H2,(H,14,15,16)",10683971,c1cc(cc(c1COS(=O)(=O)O)N(=O)=O)N(=O)=O,,
Enterolactone,HVDGDHBAMCBBLR-WMLDXEAASA-N,"InChI=1S/C18H18O4/c19-15-5-1-3-12(8-15)7-14-11-22-18(21)17(14)10-13-4-2-6-16(20)9-13/h1-6,8-9,14,17,19-20H,7,10-11H2/t14-,17+/m0/s1",10685477,c1cc(C[C@H]2COC(=O)[C@@H]2Cc2cccc(c2)O)cc(c1)O,,
"Phenol, 4-[2-(dipropylamino)ethyl]-2-(2-phenylethoxy)-",DMVMWWXQRZDRJE-UHFFFAOYSA-N,"InChI=1S/C22H31NO2/c1-3-14-23(15-4-2)16-12-20-10-11-21(24)22(18-20)25-17-13-19-8-6-5-7-9-19/h5-11,18,24H,3-4,12-17H2,1-2H3",10688629,CCCN(CCC)CCc1ccc(c(c1)OCCc1ccccc1)O,,
[2-(4-Methoxy-3-phenethyloxy-phenyl)-ethyl]-propyl-amine; hydrochloride,AEQMNSOSQSZZIB-UHFFFAOYSA-N,"InChI=1S/C20H27NO2/c1-3-13-21-14-11-18-9-10-19(22-2)20(16-18)23-15-12-17-7-5-4-6-8-17/h4-10,16,21H,3,11-15H2,1-2H3",10710332,CCCNCCc1ccc(c(c1)OCCc1ccccc1)OC,,
enoltasosartan,WNDWLZHSOQLSBP-UHFFFAOYSA-N,"InChI=1S/C23H21N7O2/c1-13-21-19(31)11-20(32)30(23(21)25-14(2)24-13)12-15-7-9-16(10-8-15)17-5-3-4-6-18(17)22-26-28-29-27-22/h3-10,19,31H,11-12H2,1-2H3,(H,26,27,28,29)",10741138,Cc1c2C(CC(=O)N(Cc3ccc(cc3)c3ccccc3c3n[nH]nn3)c2nc(C)n1)O,,
8-Hydroxynevirapine,DZPVEPLRIKDBFC-UHFFFAOYSA-N,"InChI=1S/C15H14N4O2/c1-8-4-5-16-14-12(8)18-15(21)11-6-10(20)7-17-13(11)19(14)9-2-3-9/h4-7,9,20H,2-3H2,1H3,(H,18,21)",10755325,Cc1ccnc2c1N=C(c1cc(cnc1N2C1CC1)O)O,8-Hydroxy-nevirapine,
21(S)-Hydroxy Montelukast,CHRNGXJVKOMERP-SIOAQITRSA-N,"InChI=1S/C35H36ClNO4S/c1-34(2,41)29-9-4-3-8-28(29)31(38)20-32(42-22-35(16-17-35)21-33(39)40)25-7-5-6-23(18-25)10-14-27-15-12-24-11-13-26(36)19-30(24)37-27/h3-15,18-19,31-32,38,41H,16-17,20-22H2,1-2H3,(H,39,40)/b14-10+/t31-,32+/m0/s1",10841306,CC(C)(c1ccccc1[C@H](C[C@H](c1cccc(/C=C/c2ccc3ccc(cc3n2)Cl)c1)SCC1(CC1)CC(=O)O)O)O,,
"(5-Acetyl-2,4-dihydroxyphenyl) hydrogen sulfate",CYVRFZMFCIXKPO-UHFFFAOYSA-N,"InChI=1S/C8H8O7S/c1-4(9)5-2-8(15-16(12,13)14)7(11)3-6(5)10/h2-3,10-11H,1H3,(H,12,13,14)",10848131,CC(=O)c1cc(c(cc1O)O)OS(=O)(=O)O,,
2-Hydroxynevirapine,LFZSOJABLBVGRJ-UHFFFAOYSA-N,"InChI=1S/C15H14N4O2/c1-8-7-11(20)17-14-12(8)18-15(21)10-3-2-6-16-13(10)19(14)9-4-5-9/h2-3,6-7,9H,4-5H2,1H3,(H,17,20)(H,18,21)",10850461,Cc1cc(nc2c1N=C(c1cccnc1N2C1CC1)O)O,2-Hydroxy-nevirapine,
{4-[5-(4-Fluoro-phenyl)-2-methylsulfanyl-3H-imidazol-4-yl]-pyridin-2-yl}-(1-phenyl-ethyl)-amine,VXPWQNBKEIVYIS-OAHLLOKOSA-N,"InChI=1S/C23H21FN4S/c1-15(16-6-4-3-5-7-16)26-20-14-18(12-13-25-20)22-21(27-23(28-22)29-2)17-8-10-19(24)11-9-17/h3-15H,1-2H3,(H,25,26)(H,27,28)/t15-/m1/s1",10862355,C[C@H](c1ccccc1)Nc1cc(ccn1)c1c(c2ccc(cc2)F)nc([nH]1)SC,,
3-(3-(Methylsulfonyl)phenyl)piperidine,KMVLMAUQHRUFDO-UHFFFAOYSA-N,"InChI=1S/C12H17NO2S/c1-16(14,15)12-6-2-4-10(8-12)11-5-3-7-13-9-11/h2,4,6,8,11,13H,3,5,7,9H2,1H3",10890006,CS(=O)(=O)c1cccc(c1)C1CCCNC1,,
(-)-bisoprolol,VHYCDWMUTMEGQY-KRWDZBQOSA-N,"InChI=1S/C18H31NO4/c1-14(2)19-11-17(20)13-23-18-7-5-16(6-8-18)12-21-9-10-22-15(3)4/h5-8,14-15,17,19-20H,9-13H2,1-4H3/t17-/m0/s1",10892731,CC(C)NC[C@@H](COc1ccc(cc1)COCCOC(C)C)O,,
schembl7562446,ILMMRHUILQOQGP-AWEZNQCLSA-N,"InChI=1S/C18H27NO2S/c1-17(2,3)12-7-11(9-14-16(21)19-10-22-14)8-13(15(12)20)18(4,5)6/h7-8,14,20H,9-10H2,1-6H3,(H,19,21)/t14-/m0/s1",10969297,CC(C)(C)c1cc(cc(c1O)C(C)(C)C)C[C@H]1C(=NCS1)O,,
3-Hydroxynevirapine,DANIONWINZEYME-UHFFFAOYSA-N,"InChI=1S/C15H14N4O2/c1-8-11(20)7-17-14-12(8)18-15(21)10-3-2-6-16-13(10)19(14)9-4-5-9/h2-3,6-7,9,20H,4-5H2,1H3,(H,18,21)",10978907,Cc1c(cnc2c1N=C(c1cccnc1N2C1CC1)O)O,3-Hydroxy-nevirapine,
7-Hydroxy-alpha-thujone,BWIMEHVFTVSHCC-BRDIYROLSA-N,"InChI=1S/C10H16O2/c1-6-7-4-10(7,5-8(6)11)9(2,3)12/h6-7,12H,4-5H2,1-3H3/t6-,7-,10-/m1/s1",11041106,C[C@@H]1[C@H]2C[C@]2(CC1=O)C(C)(C)O,,
(r)-enflurane,JPGQOUSTVILISH-SFOWXEAESA-N,"InChI=1S/C3H2ClF5O/c4-1(5)3(8,9)10-2(6)7/h1-2H/t1-/m0/s1",11052326,[C@H](C(F)(F)OC(F)F)(Cl)F,,
s-metolachlor,WVQBLGZPHOPPFO-LBPRGKRZSA-N,"InChI=1S/C15H22ClNO2/c1-5-13-8-6-7-11(2)15(13)17(14(18)9-16)12(3)10-19-4/h6-8,12H,5,9-10H2,1-4H3/t12-/m0/s1",11140605,CCc1cccc(C)c1N([C@@H](C)COC)C(=O)CCl,,
pantoprazole,IQPSEEYGBUAQFF-AREMUKBSSA-N,"InChI=1S/C16H15F2N3O4S/c1-23-13-5-6-19-12(14(13)24-2)8-26(22)16-20-10-4-3-9(25-15(17)18)7-11(10)21-16/h3-7,15H,8H2,1-2H3,(H,20,21)/t26-/m1/s1",11181988,COc1ccnc(C[S@@](=O)c2nc3ccc(cc3[nH]2)OC(F)F)c1OC,,
4-Defluoro-4-hydroxy Gefitinib,IQWXTDMHBQBADK-UHFFFAOYSA-N,"InChI=1S/C22H25ClN4O4/c1-29-20-13-18-16(12-21(20)31-8-2-5-27-6-9-30-10-7-27)22(25-14-24-18)26-15-3-4-19(28)17(23)11-15/h3-4,11-14,28H,2,5-10H2,1H3,(H,24,25,26)",11190016,COc1cc2c(cc1OCCCN1CCOCC1)c(ncn2)Nc1ccc(c(c1)Cl)O,,
9'-Desmethylgranisetron,GHVQAOGYNZNTIA-YHWZYXNKSA-N,"InChI=1S/C17H22N4O/c1-21-12-5-4-6-13(21)10-11(9-12)18-17(22)16-14-7-2-3-8-15(14)19-20-16/h2-3,7-8,11-13H,4-6,9-10H2,1H3,(H,18,22)(H,19,20)/t11?,12-,13+",11243474,CN1[C@H]2CCC[C@@H]1CC(C2)NC(=O)c1c2ccccc2[nH]n1,,
